index,id,language,setCode,translation
614,615,Italian,FUT,Visione Futura
615,616,Japanese,FUT,未来予知
616,617,Korean,FUT,미래를 보는 눈
617,618,Portuguese (Brazil),FUT,Visão do Futuro
618,619,Russian,FUT,Взгляд в Будущее
619,620,Spanish,FUT,Visión del futuro
620,621,Chinese Simplified,GPT,十会盟
621,622,Chinese Traditional,GPT,十會盟
622,623,French,GPT,Le Pacte des Guildes
623,624,German,GPT,Gildenbund
624,625,Italian,GPT,Patto delle Gilde
625,626,Japanese,GPT,ギルドパクト
626,627,Korean,GPT,길드팩트
627,628,Portuguese (Brazil),GPT,Pacto das Guildas
628,629,Russian,GPT,Договор Гильдий
629,630,Spanish,GPT,El Pacto entre Gremios
630,631,Chinese Simplified,GTC,兵临古城
631,632,Chinese Traditional,GTC,兵臨古城
632,633,French,GTC,Insurrection
633,634,German,GTC,Gildensturm
634,635,Italian,GTC,Irruzione
635,636,Japanese,GTC,『ギルド門侵犯』
636,637,Korean,GTC,충돌의 관문
637,638,Portuguese (Brazil),GTC,Portões Violados
638,639,Russian,GTC,Незваные Гости
639,640,Spanish,GTC,Intrusión
640,641,Chinese Simplified,HML,
641,642,Chinese Traditional,HML,
642,643,French,HML,Terres natales
643,644,German,HML,
644,645,Italian,HML,
645,646,Japanese,HML,
646,647,Korean,HML,
647,648,Portuguese (Brazil),HML,
648,649,Russian,HML,
649,650,Spanish,HML,
650,651,Chinese Simplified,ICE,
651,652,Chinese Traditional,ICE,
652,653,French,ICE,Ère glaciaire
653,654,German,ICE,
654,655,Italian,ICE,
655,656,Japanese,ICE,
656,657,Korean,ICE,
657,658,Portuguese (Brazil),ICE,
658,659,Russian,ICE,
659,660,Spanish,ICE,
660,661,Chinese Simplified,IKO,
661,662,Chinese Traditional,IKO,
662,663,French,IKO,Ikoria la Terre de Béhémoths
663,664,German,IKO,
664,665,Italian,IKO,
665,666,Japanese,IKO,
666,667,Korean,IKO,
667,668,Portuguese (Brazil),IKO,
668,669,Russian,IKO,
669,670,Spanish,IKO,
670,671,Chinese Simplified,JOU,尼兹之旅
671,672,Chinese Traditional,JOU,尼茲之旅
672,673,French,JOU,Incursion dans Nyx
673,674,German,JOU,Reise nach Nyx
674,675,Italian,JOU,Viaggio verso Nyx
675,676,Japanese,JOU,『ニクスへの旅』
676,677,Korean,JOU,닉스로 가는 길
677,678,Portuguese (Brazil),JOU,Viagem para Nyx
678,679,Russian,JOU,Путешествие в Никс
679,680,Spanish,JOU,Travesía hacia Nyx
680,681,Chinese Simplified,JUD,神谴
681,682,Chinese Traditional,JUD,神譴
682,683,French,JUD,Jugement
683,684,German,JUD,Abrechnung
684,685,Italian,JUD,Sentenza
685,686,Japanese,JUD,ジャッジメント
686,687,Korean,JUD,심판
687,688,Portuguese (Brazil),JUD,Judgment
688,689,Russian,JUD,Judgment
689,690,Spanish,JUD,Juicio
690,691,Chinese Simplified,KLD,卡拉德许
691,692,Chinese Traditional,KLD,卡拉德許
692,693,French,KLD,Kaladesh
693,694,German,KLD,Kaladesh
694,695,Italian,KLD,Kaladesh
695,696,Japanese,KLD,『カラデシュ』
696,697,Korean,KLD,칼라데시
697,698,Portuguese (Brazil),KLD,Kaladesh
698,699,Russian,KLD,«Каладеш»
699,700,Spanish,KLD,Kaladesh
700,701,Chinese Simplified,KTK,鞑契可汗
701,702,Chinese Traditional,KTK,韃契可汗
702,703,French,KTK,Les Khans de Tarkir
703,704,German,KTK,Khane von Tarkir
704,705,Italian,KTK,I Khan di Tarkir
705,706,Japanese,KTK,『タルキール覇王譚』
706,707,Korean,KTK,타르커의 칸
707,708,Portuguese (Brazil),KTK,Khans de Tarkir
708,709,Russian,KTK,Ханы Таркира
709,710,Spanish,KTK,Kans de Tarkir
710,711,Chinese Simplified,LGN,
711,712,Chinese Traditional,LGN,
712,713,French,LGN,Légions
713,714,German,LGN,Legions
714,715,Italian,LGN,
715,716,Japanese,LGN,
716,717,Korean,LGN,
717,718,Portuguese (Brazil),LGN,
718,719,Russian,LGN,
719,720,Spanish,LGN,Legiones
720,721,Chinese Simplified,LRW,洛温
721,722,Chinese Traditional,LRW,洛溫
722,723,French,LRW,Lorwyn
723,724,German,LRW,Lorwyn
724,725,Italian,LRW,Lorwyn
725,726,Japanese,LRW,ローウィン
726,727,Korean,LRW,로윈
727,728,Portuguese (Brazil),LRW,Lorwyn
728,729,Russian,LRW,Лорвин
729,730,Spanish,LRW,Lorwyn
730,731,Chinese Simplified,M10,核心系列2010
731,732,Chinese Traditional,M10,核心系列2010
732,733,French,M10,Édition de base 2010
733,734,German,M10,2010 Hauptset
734,735,Italian,M10,Set Base 2010
735,736,Japanese,M10,基本セット2010
736,737,Korean,M10,2010 코어세트
737,738,Portuguese (Brazil),M10,Coleção Básica 2010
738,739,Russian,M10,Базовый выпуск 2010
739,740,Spanish,M10,Colección básica 2010
740,741,Chinese Simplified,M14,万智牌2014 核心系列
741,742,Chinese Traditional,M14,魔法風雲會2014 核心系列
742,743,French,M14,Édition de base Magic 2014
743,744,German,M14,Hauptset Magic 2014
744,745,Italian,M14,Set Base Magic 2014
745,746,Japanese,M14,『マジック基本セット2014』
746,747,Korean,M14,매직 2014 코어세트
747,748,Portuguese (Brazil),M14,Coleção Básica de Magic 2014
748,749,Russian,M14,Базовый выпуск Magic 2014
749,750,Spanish,M14,Colección básica Magic 2014
750,751,Chinese Simplified,M15,万智牌2015 核心系列
751,752,Chinese Traditional,M15,魔法風雲會2015 核心系列
752,753,French,M15,Édition de base Magic 2015
753,754,German,M15,Hauptset Magic 2015
754,755,Italian,M15,Set Base Magic 2015
755,756,Japanese,M15,『マジック基本セット2015』
756,757,Korean,M15,매직 2015 코어세트
757,758,Portuguese (Brazil),M15,Coleção Básica de Magic 2015
758,759,Russian,M15,Базовый выпуск Magic 2015
759,760,Spanish,M15,Colección básica Magic 2015
760,761,Chinese Simplified,M20,
761,762,Chinese Traditional,M20,
762,763,French,M20,Edition de base 2020
763,764,German,M20,
764,765,Italian,M20,
765,766,Japanese,M20,
766,767,Korean,M20,
767,768,Portuguese (Brazil),M20,
768,769,Russian,M20,
769,770,Spanish,M20,
770,771,Chinese Simplified,M21,
771,772,Chinese Traditional,M21,
772,773,French,M21,Edition de base 2021
773,774,German,M21,
774,775,Italian,M21,
775,776,Japanese,M21,
776,777,Korean,M21,
777,778,Portuguese (Brazil),M21,
778,779,Russian,M21,
779,780,Spanish,M21,
780,781,Chinese Simplified,MBS,围攻秘罗地
781,782,Chinese Traditional,MBS,圍攻秘羅地
782,783,French,MBS,Mirrodin Besieged
783,784,German,MBS,Mirrodins Belagerung
784,785,Italian,MBS,Mirrodin Assediato
785,786,Japanese,MBS,ミラディン包囲戦
786,787,Korean,MBS,미로딘 포위전
787,788,Portuguese (Brazil),MBS,Mirrodin Sitiada
788,789,Russian,MBS,Осада Мирродина
789,790,Spanish,MBS,Mirrodin sitiado
790,791,Chinese Simplified,MM2,Modern Masters 2015 Edition
791,792,Chinese Traditional,MM2,Modern Masters 2015 Edition
792,793,French,MM2,Modern Masters 2015 Edition
793,794,German,MM2,Modern Masters 2015 Edition
794,795,Italian,MM2,Modern Masters 2015 Edition
795,796,Japanese,MM2,Modern Masters 2015 Edition
796,797,Korean,MM2,Modern Masters 2015 Edition
797,798,Portuguese (Brazil),MM2,Modern Masters 2015 Edition
798,799,Russian,MM2,Modern Masters 2015 Edition
799,800,Spanish,MM2,Modern Masters 2015 Edition
800,801,Chinese Simplified,MMA,Modern Masters
801,802,Chinese Traditional,MMA,Modern Masters
802,803,French,MMA,Modern Masters
803,804,German,MMA,Modern Masters
804,805,Italian,MMA,Modern Masters
805,806,Japanese,MMA,Modern Masters
806,807,Korean,MMA,Modern Masters
807,808,Portuguese (Brazil),MMA,Modern Masters
808,809,Russian,MMA,Modern Masters
809,810,Spanish,MMA,Modern Masters
810,811,Chinese Simplified,MMQ,
811,812,Chinese Traditional,MMQ,
812,813,French,MMQ,Masques de Mercadia
813,814,German,MMQ,
814,815,Italian,MMQ,
815,816,Japanese,MMQ,
816,817,Korean,MMQ,
817,818,Portuguese (Brazil),MMQ,
818,819,Russian,MMQ,
819,820,Spanish,MMQ,
820,821,Chinese Simplified,MOR,晨光
821,822,Chinese Traditional,MOR,晨光
822,823,French,MOR,Lèveciel
823,824,German,MOR,Morgenluft
824,825,Italian,MOR,Aurora
825,826,Japanese,MOR,モーニングタイド
826,827,Korean,MOR,일출
827,828,Portuguese (Brazil),MOR,Alvorecer
828,829,Russian,MOR,Рассвет
829,830,Spanish,MOR,
830,831,Chinese Simplified,MRD,秘罗地
831,832,Chinese Traditional,MRD,秘羅地
832,833,French,MRD,Mirrodin
833,834,German,MRD,Mirrodin
834,835,Italian,MRD,Mirrodin
835,836,Japanese,MRD,ミラディン
836,837,Korean,MRD,미로딘
837,838,Portuguese (Brazil),MRD,Mirrodin
838,839,Russian,MRD,Mirrodin
839,840,Spanish,MRD,Mirrodin
840,841,Chinese Simplified,ODY,奥德赛
841,842,Chinese Traditional,ODY,奧德賽
842,843,French,ODY,Odyssée
843,844,German,ODY,Odyssee
844,845,Italian,ODY,Odissea
845,846,Japanese,ODY,オデッセイ
846,847,Korean,ODY,오디세이
847,848,Portuguese (Brazil),ODY,Odyssey
848,849,Russian,ODY,Odyssey
849,850,Spanish,ODY,Odisea
850,851,Chinese Simplified,OGW,守护者誓约
851,852,Chinese Traditional,OGW,守護者誓約
852,853,French,OGW,Le serment des Sentinelles
853,854,German,OGW,Eid der Wächter
854,855,Italian,OGW,Giuramento dei Guardiani
855,856,Japanese,OGW,『ゲートウォッチの誓い』
856,857,Korean,OGW,관문수호대의 맹세
857,858,Portuguese (Brazil),OGW,Juramento das Sentinelas
858,859,Russian,OGW,Клятва Стражей
859,860,Spanish,OGW,El juramento de los Guardianes
860,861,Chinese Simplified,ONS,
861,862,Chinese Traditional,ONS,
862,863,French,ONS,Carnage
863,864,German,ONS,Onslaught
864,865,Italian,ONS,
865,866,Japanese,ONS,
866,867,Korean,ONS,
867,868,Portuguese (Brazil),ONS,
868,869,Russian,ONS,
869,870,Spanish,ONS,Embestida
870,871,Chinese Simplified,ORI,万智牌：起源
871,872,Chinese Traditional,ORI,魔法風雲會：起源
872,873,French,ORI,Magic Origines
873,874,German,ORI,Magic Ursprünge
874,875,Italian,ORI,Magic Origins
875,876,Japanese,ORI,『マジック・オリジン』
876,877,Korean,ORI,매직의 기원
877,878,Portuguese (Brazil),ORI,Magic – Origens
878,879,Russian,ORI,Magic: Истоки
879,880,Spanish,ORI,Magic Orígenes
880,881,Chinese Simplified,PC2,Planechase (2012 Edition)
881,882,Chinese Traditional,PC2,Planechase (2012 Edition)
882,883,French,PC2,Planechase (2012 Edition)
883,884,German,PC2,Planechase (2012 Edition)
884,885,Italian,PC2,Planechase (2012 Edition)
885,886,Japanese,PC2,Planechase (2012 Edition)
886,887,Korean,PC2,Planechase (2012 Edition)
887,888,Portuguese (Brazil),PC2,Planechase (2012 Edition)
888,889,Russian,PC2,Planechase (2012 Edition)
889,890,Spanish,PC2,Planechase (2012 Edition)
890,891,Chinese Simplified,PCA,Planechase Anthology
891,892,Chinese Traditional,PCA,Planechase Anthology
892,893,French,PCA,Planechase Anthology
893,894,German,PCA,Planechase Anthology
894,895,Italian,PCA,Planechase Anthology
895,896,Japanese,PCA,Planechase Anthology
896,897,Korean,PCA,Planechase Anthology
897,898,Portuguese (Brazil),PCA,Planechase Anthology
898,899,Russian,PCA,Planechase Anthology
899,900,Spanish,PCA,Planechase Anthology
900,901,Chinese Simplified,PCY,Prophecy
901,902,Chinese Traditional,PCY,Prophecy
902,903,French,PCY,Prophétie
903,904,German,PCY,Prophecy
904,905,Italian,PCY,Prophecy
905,906,Japanese,PCY,Prophecy
906,907,Korean,PCY,Prophecy
907,908,Portuguese (Brazil),PCY,Prophecy
908,909,Russian,PCY,Prophecy
909,910,Spanish,PCY,Prophecy
910,911,Chinese Simplified,PD2,Premium Deck Series: Fire & Lightning
911,912,Chinese Traditional,PD2,Premium Deck Series: Fire & Lightning
912,913,French,PD2,Premium Deck Series: Fire & Lightning
913,914,German,PD2,Premium Deck Series: Fire & Lightning
914,915,Italian,PD2,Premium Deck Series: Fire & Lightning
915,916,Japanese,PD2,Premium Deck Series: Fire & Lightning
916,917,Korean,PD2,Premium Deck Series: Fire & Lightning
917,918,Portuguese (Brazil),PD2,Premium Deck Series: Fire & Lightning
918,919,Russian,PD2,Premium Deck Series: Fire & Lightning
919,920,Spanish,PD2,Premium Deck Series: Fire & Lightning
920,921,Chinese Simplified,PLC,时空混沌
921,922,Chinese Traditional,PLC,Planar Chaos
922,923,French,PLC,Chaos planaire
923,924,German,PLC,Weltenchaos
924,925,Italian,PLC,Caos Planar
925,926,Japanese,PLC,次元の混乱
926,927,Korean,PLC,차원의 혼돈
927,928,Portuguese (Brazil),PLC,Caos Planar
928,929,Russian,PLC,Вселенский Хаос
929,930,Spanish,PLC,Caos Planar
930,931,Chinese Simplified,RAV,拉尼卡公会城
931,932,Chinese Traditional,RAV,拉尼卡公會城
932,933,French,RAV,Ravnica: la Cité des Guildes
933,934,German,RAV,Ravnica: Stadt der Gilden
934,935,Italian,RAV,Ravnica: Città delle Gilde
935,936,Japanese,RAV,ラヴニカ：ギルドの都
936,937,Korean,RAV,라브니카: 길드들의 도시
937,938,Portuguese (Brazil),RAV,Ravnica: A Cidade das Guildas
938,939,Russian,RAV,Равника: Город Гильдий
939,940,Spanish,RAV,Rávnica: Ciudad de gremios
940,941,Chinese Simplified,RIX,
941,942,Chinese Traditional,RIX,
942,943,French,RIX,Les combattants d'Ixalan
943,944,German,RIX,
944,945,Italian,RIX,
945,946,Japanese,RIX,
946,947,Korean,RIX,
947,948,Portuguese (Brazil),RIX,
948,949,Russian,RIX,
949,950,Spanish,RIX,
950,951,Chinese Simplified,RNA,
951,952,Chinese Traditional,RNA,
952,953,French,RNA,L'allégeance de Ravnica
953,954,German,RNA,
954,955,Italian,RNA,
955,956,Japanese,RNA,
956,957,Korean,RNA,
957,958,Portuguese (Brazil),RNA,
958,959,Russian,RNA,
959,960,Spanish,RNA,
960,961,Chinese Simplified,RTR,再访拉尼卡
961,962,Chinese Traditional,RTR,再訪拉尼卡
962,963,French,RTR,Retour sur Ravnica
963,964,German,RTR,Rückkehr nach Ravnica
964,965,Italian,RTR,Ritorno a Ravnica
965,966,Japanese,RTR,『ラヴニカへの回帰』
966,967,Korean,RTR,라브니카로의 귀환
967,968,Portuguese (Brazil),RTR,Retorno a Ravnica
968,969,Russian,RTR,Возвращение в Равнику
969,970,Spanish,RTR,Regreso a Rávnica
970,971,Chinese Simplified,SCG,
971,972,Chinese Traditional,SCG,
972,973,French,SCG,Fléau
973,974,German,SCG,Scourge
974,975,Italian,SCG,
975,976,Japanese,SCG,
976,977,Korean,SCG,
977,978,Portuguese (Brazil),SCG,
978,979,Russian,SCG,
979,980,Spanish,SCG,Azote
980,981,Chinese Simplified,SHM,暗影荒原
981,982,Chinese Traditional,SHM,闇影荒原
982,983,French,SHM,Sombrelande
983,984,German,SHM,Schattenmoor
984,985,Italian,SHM,Landa Tenebrosa
985,986,Japanese,SHM,シャドウムーア
986,987,Korean,SHM,샤도우무어
987,988,Portuguese (Brazil),SHM,Pântano Sombrio
988,989,Russian,SHM,Шэдоумур
989,990,Spanish,SHM,Páramo Sombrío
990,991,Chinese Simplified,SOI,依尼翠暗影
991,992,Chinese Traditional,SOI,依尼翠闇影
992,993,French,SOI,Ténèbres sur Innistrad
993,994,German,SOI,Schatten über Innistrad
994,995,Italian,SOI,Ombre su Innistrad
995,996,Japanese,SOI,『イニストラードを覆う影』
996,997,Korean,SOI,이니스트라드에 드리운 그림자
997,998,Portuguese (Brazil),SOI,Sombras Em Innistrad
998,999,Russian,SOI,Тени над Иннистрадом
999,1000,Spanish,SOI,Sombras sobre Innistrad
1000,1001,Chinese Simplified,SOK,神河任侠传
1001,1002,Chinese Traditional,SOK,神河任俠傳
1002,1003,French,SOK,Libérateurs de Kamigawa
1003,1004,German,SOK,Retter von Kamigawa
1004,1005,Italian,SOK,Liberatori di Kamigawa
1005,1006,Japanese,SOK,神河救済
1006,1007,Korean,SOK,카미가와의 구원자
1007,1008,Portuguese (Brazil),SOK,Salvadores de Kamigawa
1008,1009,Russian,SOK,Saviors of Kamigawa
1009,1010,Spanish,SOK,Salvadores de Kamigawa
1010,1011,Chinese Simplified,STH,
1011,1012,Chinese Traditional,STH,
1012,1013,French,STH,Forteresse
1013,1014,German,STH,
1014,1015,Italian,STH,
1015,1016,Japanese,STH,
1016,1017,Korean,STH,
1017,1018,Portuguese (Brazil),STH,
1018,1019,Russian,STH,
1019,1020,Spanish,STH,
1020,1021,Chinese Simplified,THB,
1021,1022,Chinese Traditional,THB,
1022,1023,French,THB,Theros par-delà la mort
1023,1024,German,THB,
1024,1025,Italian,THB,
1025,1026,Japanese,THB,
1026,1027,Korean,THB,
1027,1028,Portuguese (Brazil),THB,
1028,1029,Russian,THB,
1029,1030,Spanish,THB,
1030,1031,Chinese Simplified,THS,塞洛斯
1031,1032,Chinese Traditional,THS,塞洛斯
1032,1033,French,THS,Theros
1033,1034,German,THS,Theros
1034,1035,Italian,THS,Theros
1035,1036,Japanese,THS,『テーロス』
1036,1037,Korean,THS,테로스
1037,1038,Portuguese (Brazil),THS,Theros
1038,1039,Russian,THS,Терос
1039,1040,Spanish,THS,Theros
1040,1041,Chinese Simplified,TMP,
1041,1042,Chinese Traditional,TMP,
1042,1043,French,TMP,Tempête
1043,1044,German,TMP,
1044,1045,Italian,TMP,
1045,1046,Japanese,TMP,
1046,1047,Korean,TMP,
1047,1048,Portuguese (Brazil),TMP,
1048,1049,Russian,TMP,
1049,1050,Spanish,TMP,
1050,1051,Chinese Simplified,TOR,绝境
1051,1052,Chinese Traditional,TOR,絕境
1052,1053,French,TOR,Tourment
1053,1054,German,TOR,Qualen
1054,1055,Italian,TOR,Tormento
1055,1056,Japanese,TOR,トーメント
1056,1057,Korean,TOR,고통
1057,1058,Portuguese (Brazil),TOR,Torment
1058,1059,Russian,TOR,Torment
1059,1060,Spanish,TOR,Tormento
1060,1061,Chinese Simplified,TPR,Tempest Remastered
1061,1062,Chinese Traditional,TPR,Tempest Remastered
1062,1063,French,TPR,Tempest Remastered
1063,1064,German,TPR,Tempest Remastered
1064,1065,Italian,TPR,Tempest Remastered
1065,1066,Japanese,TPR,Tempest Remastered
1066,1067,Korean,TPR,Tempest Remastered
1067,1068,Portuguese (Brazil),TPR,Tempest Remastered
1068,1069,Russian,TPR,Tempest Remastered
1069,1070,Spanish,TPR,Tempest Remastered
1070,1071,Chinese Simplified,TSP,时间漩涡
1071,1072,Chinese Traditional,TSP,Time Spiral
1072,1073,French,TSP,Spirale temporelle
1073,1074,German,TSP,Zeitspirale
1074,1075,Italian,TSP,Espiral Temporal
1075,1076,Japanese,TSP,時のらせん
1076,1077,Korean,TSP,시간의 나선
1077,1078,Portuguese (Brazil),TSP,Espiral Temporal
1078,1079,Russian,TSP,Спираль Времени
1079,1080,Spanish,TSP,Espiral del tiempo
1080,1081,Chinese Simplified,UDS,
1081,1082,Chinese Traditional,UDS,
1082,1083,French,UDS,La destinée d'Urza
1083,1084,German,UDS,
1084,1085,Italian,UDS,
1085,1086,Japanese,UDS,
1086,1087,Korean,UDS,
1087,1088,Portuguese (Brazil),UDS,
1088,1089,Russian,UDS,
1089,1090,Spanish,UDS,
1090,1091,Chinese Simplified,ULG,
1091,1092,Chinese Traditional,ULG,
1092,1093,French,ULG,L'héritage d'Urza
1093,1094,German,ULG,
1094,1095,Italian,ULG,
1095,1096,Japanese,ULG,
1096,1097,Korean,ULG,
1097,1098,Portuguese (Brazil),ULG,
1098,1099,Russian,ULG,
1099,1100,Spanish,ULG,
1100,1101,Chinese Simplified,USG,
1101,1102,Chinese Traditional,USG,
1102,1103,French,USG,L'épopée d'Urza
1103,1104,German,USG,
1104,1105,Italian,USG,
1105,1106,Japanese,USG,
1106,1107,Korean,USG,
1107,1108,Portuguese (Brazil),USG,
1108,1109,Russian,USG,
1109,1110,Spanish,USG,
1110,1111,Chinese Simplified,V09,From The Vault: Exiled
1111,1112,Chinese Traditional,V09,From The Vault: Exiled
1112,1113,French,V09,From The Vault: Exiled
1113,1114,German,V09,From The Vault: Exiled
1114,1115,Italian,V09,From The Vault: Exiled
1115,1116,Japanese,V09,From The Vault: Exiled
1116,1117,Korean,V09,From The Vault: Exiled
1117,1118,Portuguese (Brazil),V09,From The Vault: Exiled
1118,1119,Russian,V09,From The Vault: Exiled
1119,1120,Spanish,V09,From The Vault: Exiled
1120,1121,Chinese Simplified,V10,From The Vault: Relics
1121,1122,Chinese Traditional,V10,From The Vault: Relics
1122,1123,French,V10,From The Vault: Relics
1123,1124,German,V10,From The Vault: Relics
1124,1125,Italian,V10,From The Vault: Relics
1125,1126,Japanese,V10,From The Vault: Relics
1126,1127,Korean,V10,From The Vault: Relics
1127,1128,Portuguese (Brazil),V10,From The Vault: Relics
1128,1129,Russian,V10,From The Vault: Relics
1129,1130,Spanish,V10,From The Vault: Relics
1130,1131,Chinese Simplified,V11,From The Vault: Legends
1131,1132,Chinese Traditional,V11,From The Vault: Legends
1132,1133,French,V11,From The Vault: Legends
1133,1134,German,V11,From The Vault: Legends
1134,1135,Italian,V11,From The Vault: Legends
1135,1136,Japanese,V11,From The Vault: Legends
1136,1137,Korean,V11,From The Vault: Legends
1137,1138,Portuguese (Brazil),V11,From The Vault: Legends
1138,1139,Russian,V11,From The Vault: Legends
1139,1140,Spanish,V11,From The Vault: Legends
1140,1141,Chinese Simplified,V12,From The Vault: Realms
1141,1142,Chinese Traditional,V12,From The Vault: Realms
1142,1143,French,V12,From The Vault: Realms
1143,1144,German,V12,From The Vault: Realms
1144,1145,Italian,V12,From The Vault: Realms
1145,1146,Japanese,V12,From The Vault: Realms
1146,1147,Korean,V12,From The Vault: Realms
1147,1148,Portuguese (Brazil),V12,From The Vault: Realms
1148,1149,Russian,V12,From The Vault: Realms
1149,1150,Spanish,V12,From The Vault: Realms
1150,1151,Chinese Simplified,V13,From The Vault: Twenty
1151,1152,Chinese Traditional,V13,From The Vault: Twenty
1152,1153,French,V13,From The Vault: Twenty
1153,1154,German,V13,From The Vault: Twenty
1154,1155,Italian,V13,From The Vault: Twenty
1155,1156,Japanese,V13,From The Vault: Twenty
1156,1157,Korean,V13,From The Vault: Twenty
1157,1158,Portuguese (Brazil),V13,From The Vault: Twenty
1158,1159,Russian,V13,From The Vault: Twenty
1159,1160,Spanish,V13,From The Vault: Twenty
1160,1161,Chinese Simplified,V14,From The Vault: Annihilation
1161,1162,Chinese Traditional,V14,From The Vault: Annihilation
1162,1163,French,V14,From The Vault: Annihilation
1163,1164,German,V14,From The Vault: Annihilation
1164,1165,Italian,V14,From The Vault: Annihilation
1165,1166,Japanese,V14,From The Vault: Annihilation
1166,1167,Korean,V14,From The Vault: Annihilation
1167,1168,Portuguese (Brazil),V14,From The Vault: Annihilation
1168,1169,Russian,V14,From The Vault: Annihilation
1169,1170,Spanish,V14,From The Vault: Annihilation
1170,1171,Chinese Simplified,V15,From the Vault: Angels
1171,1172,Chinese Traditional,V15,From the Vault: Angels
1172,1173,French,V15,From the Vault: Angels
1173,1174,German,V15,From the Vault: Angels
1174,1175,Italian,V15,From the Vault: Angels
1175,1176,Japanese,V15,From the Vault: Angels
1176,1177,Korean,V15,From the Vault: Angels
1177,1178,Portuguese (Brazil),V15,From the Vault: Angels
1178,1179,Russian,V15,From the Vault: Angels
1179,1180,Spanish,V15,From the Vault: Angels
1180,1181,Chinese Simplified,V16,From The Vault: Lore
1181,1182,Chinese Traditional,V16,From The Vault: Lore
1182,1183,French,V16,From The Vault: Lore
1183,1184,German,V16,From The Vault: Lore
1184,1185,Italian,V16,From The Vault: Lore
1185,1186,Japanese,V16,From The Vault: Lore
1186,1187,Korean,V16,From The Vault: Lore
1187,1188,Portuguese (Brazil),V16,From The Vault: Lore
1188,1189,Russian,V16,From The Vault: Lore
1189,1190,Spanish,V16,From The Vault: Lore
1190,1191,Chinese Simplified,WAR,
1191,1192,Chinese Traditional,WAR,
1192,1193,French,WAR,La Guerre des Planeswlakers
1193,1194,German,WAR,
1194,1195,Italian,WAR,
1195,1196,Japanese,WAR,
1196,1197,Korean,WAR,
1197,1198,Portuguese (Brazil),WAR,
1198,1199,Russian,WAR,
1199,1200,Spanish,WAR,
1200,1201,Chinese Simplified,WTH,
1201,1202,Chinese Traditional,WTH,
1202,1203,French,WTH,Aquilon
1203,1204,German,WTH,
1204,1205,Italian,WTH,
1205,1206,Japanese,WTH,
1206,1207,Korean,WTH,
1207,1208,Portuguese (Brazil),WTH,
1208,1209,Russian,WTH,
1209,1210,Spanish,WTH,
